"Figure 1: ARD and SHR coverage and overlap of the universe of law enforcement homicides in the United States, with no agency adjustment, 2003–09 and 2011",,
,,
,,
Universe,,"7,427"
,ARD only,"1,939"
,ARD and SHR,"1,681"
,SHR only,"1,704"
Unobserved,,"2,103"
